Raw Institutional Statement,Attribute,oBject,Deontic,aIm,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"The general assembly finds and declares that it is in the interest of the people of the state that the practice of aquaculture be encouraged in order to promote agricultural diversification, augment food supplies, expand employment opportunities, promote economic activity, increase stocks of fish and other aquatic life, protect and better use and manage the land and water resources of the state, and provide other benefits to the state. ",general assembly finds and declares that it is in the interest of the people of the state,practice of aquaculture,,be encouraged,,,,,,
"The general assembly further finds and declares that aquaculture shall be considered an agricultural  enterprise as defined in the ""Colorado Agricultural Development Authority Act,"" article 75, of this title…",general assembly ,aquaculture ,shall [must] ,be considered,,,,,,
"…for tax assessment purposes [aquaculture] shall be classified pursuant to section 39-1-102 (1.6) (b), C.R.S.",colorado general assembly,aquaculture,shall [must] ,be classified,,,,,,
"[Aquaculture Board] shall consist of the following: the five persons who make up the fish health board as established in section 33-5.5-101, C.R.S.; and two additional members to be appointed by the Commissioner who are familiar with the commerical marketing or processing of aquatic organisms and their products or with the financing of commercial aquaculture. ",Aquaculture Board,"the five persons who make up the fish health board as established in section 33-5.5-101, C.R.S.; and two additional members to be appointed by the Commissioner who are familiar with the commerical marketing or processing of aquatic organisms and their products or with the financing of commercial aquaculture",shall [must] ,consist of,,,,,,
Each of these members [two additional members appointed by the Commissioner] shall serve until his or her successor has been appointed and qualified.,Each of these members [two additional members appointed by the Commissioner],,shall [must] ,serve,,,,,,
Either member shall be eligible for reappointment. ,Commissioner,either member [either of the two additional members appointed by the Commissioner],shall [must] ,be eligible,,,,,,
They [two additional members appointed by the Commissioner] shall serve without compensation except for actual and necessary traveling expenses. ,They [two additional members appointed by the Commissioner] ,,shall [must] ,serve,,,,,,
The Board shall annually select a chairman and a vice-chairman…,Board,a chairman and a vice-chairman,shall [must] ,select,,,,,,
...who [the Chairman and Vice-Chairman] may be the same as the chairman and vice-chairman of the fish health board,who [The Chairman and vice-chairman] ,,may,Be the same,,,,,,
A majority of the Board shall constitute a quorum,A majority of the Board,quorum,shall [must] ,constitute,,,,,,
"if a quorum is present, in person or by telephone, the Board may act upon a vote of a majority of those present",Board,,may,act,,,,,,
"The Board shall exercise its powers specified in this article under the department and the executive director thereof as if the same were transferred to the department by a type 2 transfer, as such transfer is defined in the ""Administrative Organization Act of 1968,"" article 1 of title 24, C.R.S. ",Board,powers [of the Board]specified in this article under the department and the executive director thereof,shall [must] ,exercise,,,,,,
"The Board shall peform its duties and functions specified in this article under the department and the executive director thereof as if the same were transferred to the department by a type 2 transfer, as such transfer is defined in the ""Administrative Organization Act of 1968,"" article 1 of title 24, C.R.S. ",Board ,duties and functions [of the Board],shall [must] ,perform,,,,,,
"The Board shall consider, initiate, and recommend rules and regulations, not consistent with the law, to the commissioner concerning the regulation of the aquaculture industry and its markets, except for rules and regulations which regulate, control, or otherwise relate to fish health, to to the spread of aquactic disease, or to the importation into the state or the distribution and management of any exotic aquatic species",Board,rules and regulations not consistent with the law,shall [must] ,"consider, initative, and recommend",,,,,,
"All of which [rules and regulations which regulate, control, or otherwise relate to fish health, to to the spread of aquactic disease, or to the importation into the state or the distribution and management of any exotic aquatic species] shall be within the jurisdiction of the Wildlife Commission",Wildlife Commission,"All of which [rules and regulations which regulate, control, or otherwise relate to fish health, to to the spread of aquactic disease, or to the importation into the state or the distribution and management of any exotic aquatic species]",shall [must] ,be [have jurisdiction over] ,,,,,,
"The Board shall develop appropriate programs to assist in the protection, growth, and promotion of the aquaculture industry of the State. ",Board,appropriate programs,shall [must] ,develop,,,,,,
Board shall recommend policies and prodedures to the commissioner and the commission for the accomplishment of such a plan,Board,policies and procedures,shall [must] ,recommend,,,,,,
The Board shall review any suspensions or revocations of aquaculture facility permits and any orders for the destruction of aquatic organisms or for quarantine of aquaculture facilities which last beyond thirty days,Board,any suspensions or revocations of aquaculture facility permits and any orders for the destruction of aquatic organisms or for quarantine of aquaculture facilities which last beyond thirty days,shall [must] ,review,,,,,,
"All such suspensions, revocations, and orders shall be conditioned upon the Board's approval",Board,"all such suspensions, revocations, and orders",shall [must] ,be conditioned,,,,,,
,,,,,,,,,,
except that destruction orders may be approved by the Commissioner upon a determination that a situation exists which threatens imminent danger to existing aquatic populations or to human health and safety and that no more reasonable means exist to control the situation ,Commissioner of Agriculture,destruction orders,may ,be approved,,,,,,
Destruction of aquatic organisms or quarantines shall be done in accordance with applicable regulations of the Department. ,[Agent responsible for destruction orders or facility quarantines],destruction of aquatic organisms or quarantines,shall [must] ,be done,,,,,,
The Board shall review aquaculture facility permitting procedure,Board,aquacluture facility permitting procedure,shall [must] ,review,,,,,,
[Board] shall make recommendations to the department concerning such procedures and any related fees and charges,[Board],recommendations to the department concerning such procedures and any related fees and charges,shall [must] ,make,,,,,,
