Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"THERE IS HEREBY ESTABLISHED IN
THE DEPARTMENT OF AGRICULTURE THE COLORADO FOOD SYSTEMS
ADVISORY COUNCIL, REFERRED TO IN THIS ARTICLE AS THE ""COUNCIL"".",,,,,,,,,,
"THE
COUNCIL IS CREATED AS AN ADVISORY COMMITTEE TO FOSTER A HEALTHY
FOOD SUPPLY AVAILABLE TO ALL COLORADO RESIDENTS WHILE ENHANCING THE STATE'S AGRICULTURAL AND NATURAL RESOURCES, ENCOURAGING
ECONOMIC GROWTH, EXPANDING THE VIABILITY OF AGRICULTURE, AND
IMPROVING THE HEALTH OF OUR COMMUNITIES AND RESIDENTS.",State,N/A,is created [creates],the,the Council,"AS AN ADVISORY COMMITTEE TO FOSTER A HEALTHY
FOOD SUPPLY AVAILABLE TO ALL COLORADO RESIDENTS WHILE ENHANCING THE STATE'S AGRICULTURAL AND NATURAL RESOURCES, ENCOURAGING
ECONOMIC GROWTH, EXPANDING THE VIABILITY OF AGRICULTURE, AND
IMPROVING THE HEALTH OF OUR COMMUNITIES AND RESIDENTS",,,,
"THE
COUNCIL'S ROLE IS TO MAKE RECOMMENDATIONS TO THE GENERAL
ASSEMBLY AND TO THE APPROPRIATE REGULATORY AGENCIES",Council,[shall],make,recommendations,to the General Assembly and to the appropriate regulatory agencies,N/A,,,,
not to make policy,[Council],[shall not],make,policy,[at all times],N/A,,,,
"THE COUNCIL SHALL USE A METHOD OF DIALOGUE AND
CONSENSUS DECISION-MAKING TO ARRIVE AT ITS RECOMMENDATIONS.",Council,shall ,use,a method of dialogue and consensus decision making,to arrive at its recommendations,N/A,,,,
"THE COUNCIL CONSISTS OF THIRTEEN MEMBERS AS FOLLOWS: (a) THE EXECUTIVE DIRECTOR, OR HIS OR HER DESIGNEE, OF EACH OF
THE FOLLOWING STATE DEPARTMENTS: (I) THE DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT;
(II) THE DEPARTMENT OF AGRICULTURE;
(III) THE DEPARTMENT OF HUMAN SERVICES;
(IV) THE DEPARTMENT OF EDUCATION;
(b) NINE MEMBERS APPOINTED BY THE GOVERNOR WHO REPRESENT
AND HAVE EXPERTISE IN ONE OF FIVE FUNCTIONAL AREAS OF FOOD SYSTEMS,
AS FOLLOWS:
(I) TWO MEMBERS WHO REPRESENT NUTRITION AND HEALTH;
(II) THREE MEMBERS WHO REPRESENT AGRICULTURAL PRODUCTION;
(III) TWO MEMBERS WHO REPRESENT FOOD WHOLESALERS OR
FOOD RETAILERS;
(IV) ONE MEMBER WHO REPRESENTS ANTI-HUNGER AND FOOD
ASSISTANCE PROGRAMS;
(V) ONE MEMBER WHO IS KNOWLEDGEABLE ABOUT A LOCAL, STATE,
OR FEDERAL AGENCY AND WHO HAS EXPERTISE IN RURAL COMMUNITY AND
REGIONAL DEVELOPMENT PROGRAMS OR COMMUNITY AND ECONOMIC
DEVELOPMENT PROGRAMS.",Council,[shall],consist of,thirteen members,"THIRTEEN MEMBERS AS FOLLOWS: (a) THE EXECUTIVE DIRECTOR, OR HIS OR HER DESIGNEE, OF EACH OF
THE FOLLOWING STATE DEPARTMENTS: (I) THE DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT;
(II) THE DEPARTMENT OF AGRICULTURE;
(III) THE DEPARTMENT OF HUMAN SERVICES;
(IV) THE DEPARTMENT OF EDUCATION;
(b) NINE MEMBERS APPOINTED BY THE GOVERNOR WHO REPRESENT
AND HAVE EXPERTISE IN ONE OF FIVE FUNCTIONAL AREAS OF FOOD SYSTEMS,
AS FOLLOWS:
(I) TWO MEMBERS WHO REPRESENT NUTRITION AND HEALTH;
(II) THREE MEMBERS WHO REPRESENT AGRICULTURAL PRODUCTION;
(III) TWO MEMBERS WHO REPRESENT FOOD WHOLESALERS OR
FOOD RETAILERS;
(IV) ONE MEMBER WHO REPRESENTS ANTI-HUNGER AND FOOD
ASSISTANCE PROGRAMS;
(V) ONE MEMBER WHO IS KNOWLEDGEABLE ABOUT A LOCAL, STATE,
OR FEDERAL AGENCY AND WHO HAS EXPERTISE IN RURAL COMMUNITY AND
REGIONAL DEVELOPMENT PROGRAMS OR COMMUNITY AND ECONOMIC
DEVELOPMENT PROGRAMS.",,,,,
"IN MAKING APPOINTMENTS TO THE COUNCIL, THE GOVERNOR
SHALL ENSURE THAT THE MEMBERSHIP OF THE COUNCIL INCLUDES
GEOGRAPHIC REPRESENTATION FROM ALL AREAS OF THE STATE.",Governor,shall ,ensure,that membership of the council includes geographic representation from all areas of the state,in making appointments to the council,N/A,,,,
"THE
GOVERNOR SHALL ALSO CONSIDER APPOINTING PERSONS WHO HAVE
EXPERTISE IN MORE THAN ONE FUNCTIONAL AREA.",Governor,shall ,consider appointing,persons who have expertise in more than one  functional area,also [in making appointments to the Council],N/A,,,,
"NO MORE THAN FIVE
MEMBERS OF THE COUNCIL APPOINTED BY THE GOVERNOR SHALL BE
MEMBERS OF THE SAME POLITICAL PARTY.",Governor,shall [not] ,appoint,more than five members of the Council of the same political party,[at all times],N/A,,,,
"EACH MEMBER OF THE COUNCIL WHO IS APPOINTED PURSUANT TO
SUBSECTION (2) OF THIS SECTION SHALL SERVE AT THE PLEASURE OF THE
APPOINTING AUTHORITY WHO APPOINTED THE MEMBER.",Each member of the Council who is appointed pursuant to subsection (2) of this section,shall ,serve,N/A,at the pleasure of the appointing authority who appointed the member,N/A,,,,
"EACH MEMBER OF
THE COUNCIL SHALL SERVE A THREE-YEAR TERM; EXCEPT…",Each member [of the council],shall ,serve ,a three year term,except [governor appointees],N/A,,,,
" THAT THE
GOVERNOR SHALL APPOINT FOUR MEMBERS TO SERVE TWO-YEAR TERMS.",Governor,shall ,appoint,four members [of the Council] to serve two-year terms,[at all times],N/A,,,,
"THE APPOINTING AUTHORITIES SHALL MAKE THEIR INITIAL
APPOINTMENTS TO THE COUNCIL NO LATER THAN OCTOBER 1, 2010.",[Council] appointing authorities ,shall,make,their initial appointments to the Council,"no later than Oct. 1, 2010",N/A,,,,
"ANY VACANCY ON THE COUNCIL SHALL BE FILLED IN THE SAME
MANNER IN WHICH THE ORIGINAL APPOINTMENT WAS MADE…",[Appointing authorities] ,shall ,fill,any vacancy on the Council,in the same manner in which the original appointment was made,N/A,,,,
"...AND THE TERM
SHALL BE FOR THE BALANCE OF THE UNEXPIRED TERM OF THE MEMBER
WHOSE TERM IS VACANT.",[Appointing authorities] ,shall,fill,[any vacancy on the Council],for the balance of the unexpired term of the member whose term is vacant,N/A,,,,
"A MAJORITY OF THE MEMBERS OF THE COUNCIL SHALL ELECT A
CHAIR AND A VICE-CHAIR…",Members of the Council,shall ,elect,a chair and vice-chair,[by] a majority,N/A,,,,
...WHO SHALL SERVE FOR TWO-YEAR TERMS.,Chair and Vice-chair [of the Council] ,shall ,serve,N/A ,for two years,N/A,,,,
"A
MEMBER OF THE COUNCIL WHO IS AN EXECUTIVE DIRECTOR OF A STATE
DEPARTMENT OR HIS OR HER DESIGNEE MAY BE ELECTED TO BE A CHAIR OR
A VICE-CHAIR OF THE COUNCIL…",[Members of the Council] ,may ,elect,"A
MEMBER OF THE COUNCIL WHO IS AN EXECUTIVE DIRECTOR OF A STATE
DEPARTMENT OR HIS OR HER DESIGNEE",to be a chair or vice-chair,N/A,,,,
"...BUT BOTH POSITIONS SHALL NOT BE HELD AT
THE SAME TIME BY MEMBERS WHO ARE EXECUTIVE DIRECTORS OF STATE
DEPARTMENTS OR THEIR DESIGNEES.","MEMBERS WHO ARE EXECUTIVE DIRECTORS OF STATE
DEPARTMENTS OR THEIR DESIGNEES",shall not,be held [hold] ,both positions [chair and vice-chair] ,at the same time,N/A,,,,
"EACH MEMBER OF THE COUNCIL SHALL SERVE WITHOUT
COMPENSATION…",Each member of the Council,shall,serve,N/A,without compensation,N/A,,,,
"BUT MAY BE REIMBURSED FROM THE FOOD SYSTEMS
ADVISORY COUNCIL FUND CREATED IN SECTION 24-37.3-105 FOR ACTUAL
AND NECESSARY SUBSISTENCE AND TRAVEL EXPENSES INCURRED IN THE
PERFORMANCE OF HIS OR HER DUTIES AS A MEMBER OF THE COUNCIL.",[The Council] ,may ,be reimbursed [reimburse],each member of the Council,"FROM THE FOOD SYSTEMS
ADVISORY COUNCIL FUND CREATED IN SECTION 24-37.3-105 FOR ACTUAL
AND NECESSARY SUBSISTENCE AND TRAVEL EXPENSES INCURRED IN THE
PERFORMANCE OF HIS OR HER DUTIES AS A MEMBER OF THE COUNCIL.",N/A,,,,
THE CHAIR SHALL CALL THE MEETINGS…,[Council] Chair,shall,call ,the meetings,[at all times],N/A,,,,
"...AND NOTIFY THE
MEMBERS OF EACH MEETING BEING CALLED AT LEAST SEVEN DAYS IN
ADVANCE.",[Council Chair],[shall],notify,members of each meeting being called,at least seven days in advance,N/A,,,,
"MEETINGS SHALL BE HELD AS OFTEN AS THE CHAIR DEEMS
NECESSARY, BUT NOT LESS THAN FOUR TIMES EACH CALENDAR YEAR.",[Council} Chair,shall ,be held [hold] ,meetings,"as often as the Chair deems necessary, but not less than four times each calendar year",N/A,,,,
"A QUORUM FOR THE TRANSACTION OF BUSINESS CONSISTS OF SEVEN MEMBERS
OF THE COUNCIL.",Seven members of the Council,[shall],consist [constitute],a quorum for transaction of business ,[at all times],N/A,,,,
"(1) THE PURPOSE OF
THE COUNCIL IS TO:
(a) IDENTIFY AND USE EXISTING STUDIES OF THE FOOD SYSTEM AND
EXAMPLES OF BEST PRACTICES, WHENEVER POSSIBLE;",,,,,,,,,,
"
(b) WORK WITH OTHER TASK FORCES, COMMITTEES, OR
ORGANIZATIONS THAT ARE PURSUING INITIATIVES OR STUDIES SIMILAR TO
THE PURPOSES AND DUTIES OUTLINED IN THIS ARTICLE ",,,,,,,,,,
"AND DEVELOP
RELATIONSHIPS WITH OTHER TASK FORCES, COMMITTEES, OR
ORGANIZATIONS TO COLLABORATE ON SIMILAR EFFORTS;",,,,,,,,,,
"
(c) DEVELOP LOCAL FOOD RECOMMENDATIONS THAT PROMOTE THE
BUILDING OF ROBUST, RESILIENT, AND LONG-TERM LOCAL FOOD ECONOMIES;
",,,,,,,,,,
"(d) DEVELOP RECOMMENDATIONS REGARDING HUNGER AND FOOD
ACCESS;",,,,,,,,,,
"
(e) COLLABORATE WITH, SERVE AS A RESOURCE TO, AND RECEIVE
INPUT FROM LOCAL AND REGIONAL FOOD POLICY COUNCILS IN THE STATE;",,,,,,,,,,
"
(f) COLLABORATE WITH THE DEPARTMENT OF AGRICULTURE IN
PROMOTING THE MARKETING PROGRAM KNOWN AS ""COLORADO PROUD"",
WHICH HELPS CONSUMERS, RESTAURANTS, AND RETAILERS TO IDENTIFY AND
PURCHASE COLORADO FOOD AND AGRICULTURAL PRODUCTS; AND",,,,,,,,,,
"
(g) DEVELOP RECOMMENDATIONS FOR ACTIONS THAT STATE AND
LOCAL GOVERNMENTS, BUSINESSES, AGRICULTURISTS, AND CONSUMERS CAN
TAKE TO BUILD ROBUST, RESILIENT, AND LONG-TERM LOCAL FOOD
ECONOMIES.",,,,,,,,,,
"(2) IN DEVELOPING ITS RECOMMENDATIONS, THE COUNCIL SHALL
CONSIDER, BUT NOT BE LIMITED TO, THE FOLLOWING AREAS OF INTEREST:
(a) (I) AN EXAMINATION OF FOODS MADE AVAILABLE TO CHILDREN,
INCLUDING THOSE IN PUBLIC SCHOOLS, AND CONSIDERATION OF WAYS TO
IMPROVE THE NUTRITIONAL QUALITY OF THOSE FOODS AND INCREASE CHILDREN'S ACCESS TO LOCALLY GROWN FOODS. (b) A STUDY OF EFFORTS TO MAKE LOCAL, HEALTHY, AND SAFE
FOODS AVAILABLE UNDER PUBLIC ASSISTANCE PROGRAMS, INCLUDING THE
POSSIBILITY OF USING ELECTRONIC BENEFIT CARDS FOR THE SUPPLEMENTAL
NUTRITION ASSISTANCE PROGRAM (SNAP) AND FEDERAL FARMERS' MARKET
NUTRITION PROGRAM (FMNP) COUPONS AT LOCAL FARMERS' MARKETS;
(c) AN IN-DEPTH EXAMINATION OF LOCAL AND REGIONAL EFFORTS
TO STRENGTHEN AND DEVELOP ROBUST, RESILIENT, AND LONG-TERM LOCAL
FOOD ECONOMIES BY SUPPORTING AND PROMOTING URBAN, SUBURBAN, AND
RURAL AGRICULTURAL PRODUCTION; IDENTIFYING AND DEVELOPING
SOLUTIONS TO REGULATORY AND POLICY BARRIERS; AND STRENGTHENING
LOCAL INFRASTRUCTURE AND ENTREPRENEURIAL EFFORTS;
(d) THE POTENTIAL IMPACTS THAT THE PRODUCTION OF LOCAL,
HEALTHY, AND SAFE FOODS WOULD HAVE ON ECONOMIC DEVELOPMENT IN
COLORADO, INCLUDING BOTH THE DIRECT IMPACTS FOR THE PRODUCERS OF
LOCAL FOOD AND THE ACTUAL AND POTENTIAL INDIRECT IMPACTS, SUCH AS
ENCOURAGING RESTAURANTS TO FEATURE LOCALLY RAISED AGRICULTURAL
PRODUCTS AND PROMOTING FOOD AND WINE TOURISM; AND
(e) ANY OTHER ISSUES THE COUNCIL, BY CONSENSUS, CONSIDERS
PERTINENT.",,,,,,,,,,
"IN DESIGNING RECOMMENDATIONS TO IMPROVE SCHOOL
NUTRITION AND INCREASE ACCESS TO LOCALLY GROWN FOODS, THE COUNCIL
SHALL INCORPORATE INPUT FROM, AND COORDINATE WITH THE WORK OF,
THE COLORADO CAMPAIGN TO END CHILDHOOD HUNGER BY 2015, INITIATED
BY EXECUTIVE ORDER OF THE GOVERNOR.",Council,shall,incorporate from and coordinate with,"THE COLORADO CAMPAIGN TO END CHILDHOOD HUNGER BY 2015, INITIATED
BY EXECUTIVE ORDER OF THE GOVERNOR","IN DESIGNING RECOMMENDATIONS TO IMPROVE SCHOOL
NUTRITION AND INCREASE ACCESS TO LOCALLY GROWN FOODS",N/A,,,,
"THE COUNCIL
MAY CREATE SUBCOMMITTEES, AS THE COUNCIL DEEMS NECESSARY, TO
CARRY OUT THE WORK OF THE COUNCIL.",Council,may ,create,subcommittees,as the Council deems necessaryy to carry out the work of the Council,N/A,,,,
"THESE SUBCOMMITTEES MAY
INCLUDE BUT ARE NOT LIMITED TO:
(I) LOCAL AND REGIONAL FOOD COUNCILS;
(II) LOCAL GOVERNMENT; (III) SCHOOL DISTRICTS, THE MEMBERS OF WHICH SHALL INCLUDE
PERSONS WITH EXPERTISE IN NUTRITION AND IN SCHOOL FINANCING; AND
(IV) A COORDINATION SUBCOMMITTEE TO COLLABORATE WITH
OTHER TASK FORCES, COMMITTEES, AND ORGANIZATIONS, INCLUDING THE
INTERAGENCY FARM-TO-SCHOOL COORDINATION TASK FORCE CREATED IN
SECTION 22-82.6-104, C.R.S.",Council,may ,include,"(I) LOCAL AND REGIONAL FOOD COUNCILS;
(II) LOCAL GOVERNMENT; (III) SCHOOL DISTRICTS, THE MEMBERS OF WHICH SHALL INCLUDE
PERSONS WITH EXPERTISE IN NUTRITION AND IN SCHOOL FINANCING; AND
(IV) A COORDINATION SUBCOMMITTEE TO COLLABORATE WITH
OTHER TASK FORCES, COMMITTEES, AND ORGANIZATIONS, INCLUDING THE
INTERAGENCY FARM-TO-SCHOOL COORDINATION TASK FORCE CREATED IN
SECTION 22-82.6-104, C.R.S",[in creating subcommittees in carrying out the work of the Council],N/A,,,,
"THE SUBCOMMITTEES SHALL INCLUDE REPRESENTATIVES OF THE
COUNCIL …",[Council],shall,include,representatives of the Council,[on] the subcommittees,N/A,,,,
