Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
There is established the Connecticut Food Policy Council which shall be within the Department of Agriculture.,,,,,,,,,,
"(b) The council shall consist of the following members: (1) One appointed by the
majority leader of the Senate who shall be involved in agriculture or in an
agriculture organization; (2) one appointed by the president pro tempore of the
Senate who shall be involved in an antihunger organization; (3) one appointed by
the minority leader of the Senate, who shall represent the Cooperative Extension
Service; (4) one appointed by the minority leader of the House of
Representatives who shall be a food retailer; (5) one appointed by the speaker
of the House of Representatives who shall be involved in agriculture or in an
agriculture organization; (6) one appointed by the majority leader of the House
of Representatives who shall be a produce wholesaler; (7) the Commissioner of
Agriculture, or his designee; (8) the Commissioner of Administrative Services,
or his designee; (9) the Commissioner of Education, or his designee; (10) the
Commissioner of Transportation, or his designee; (11) the Commissioner of Public
Health, or his designee; (12) the Commissioner of Social Services, or his
designee; (13) the head of each state department, as defined in section 4-5, who
is not one of the commissioners designated in subdivisions (7) to (12),
inclusive, of this subsection who shall be members ex officio without the right
to vote; and (14) the chairman of the joint standing committee of the General
Assembly having cognizance of matters relating to the environment who shall be a
member ex officio without the right to vote.",Council,shall ,consist of,"the following members: (1) One appointed by the
majority leader of the Senate who shall be involved in agriculture or in an
agriculture organization; (2) one appointed by the president pro tempore of the
Senate who shall be involved in an antihunger organization; (3) one appointed by
the minority leader of the Senate, who shall represent the Cooperative Extension
Service; (4) one appointed by the minority leader of the House of
Representatives who shall be a food retailer; (5) one appointed by the speaker
of the House of Representatives who shall be involved in agriculture or in an
agriculture organization; (6) one appointed by the majority leader of the House
of Representatives who shall be a produce wholesaler; (7) the Commissioner of
Agriculture, or his designee; (8) the Commissioner of Administrative Services,
or his designee; (9) the Commissioner of Education, or his designee; (10) the
Commissioner of Transportation, or his designee; (11) the Commissioner of Public
Health, or his designee; (12) the Commissioner of Social Services, or his
designee; (13) the head of each state department, as defined in section 4-5, who
is not one of the commissioners designated in subdivisions (7) to (12),
inclusive, of this subsection who shall be members ex officio without the right
to vote; and (14) the chairman of the joint standing committee of the General
Assembly having cognizance of matters relating to the environment who shall be a
member ex officio without the right to vote.",[at all times],N/A,,,,
The council shall elect a chairperson and a vice-chairperson from among its members.,Council,shall ,elect,a chairperson and a vice-chairperson ,from among its members,N/A,,,,
"Any person absent from (A) three consecutive meetings of the commission or (B) fifty per cent of
such meetings during any calendar year shall be deemed to have resigned from the
council, effective immediately.",[Council] ,shall ,be deemed [deem] ,"Any person absent from (A) three consecutive meetings of the commission or (B) fifty per cent of
such meetings during any calendar year ",effective immediately,N/A,,,,
"Vacancies on the council shall be filled by the
appointing authority.",Appointing authority,shall ,be filled [fill] ,vacancies on the Council,[at all times],N/A,,,,
Members of the council serve without ompensation... ,Members of the Council,N/A,serve,N/A,without compensation,N/A,,,,
"but shall, within the limits of available funds, be reimbursed for expenses necessarily incurred in the performance of their duties.",[Council] ,shall ,be reimbursed [reimburse] ,members of the Council,within the limits of available funds for expenses necessarily incurred in the performance of their duties,N/A,,,,
The council shall meet as often as deemed necessary by the chairperson or a majority of the council.,Council,shall ,meet,N/A,as often as deemed necessary by the chairperson or a majority of the Council,N/A,,,,
"The council shall: (1) Develop, coordinate and implement a food system policy linking local economic development, environmental protection and preservation with farming and urban issues;",Council,shall ,"develop, coordinate, and implement","a food system policy linking local economic development, environmental protection and preservation with farming and urban issues",[at all times],N/A,,,,
"[The Council shall] review and comment on any
proposed state legislation and regulations that would affect the food policy system of the state; ",Council,shall ,review and comment on,"any
proposed state legislation and regulations that would affect the food policy system of the state",[at all times],N/A,,,,
[The Council shall] advise  on the state's food policy;,Council,shall ,advise,the State Governor,on the State's Food Policy,N/A,,,,
[The Council shall] provide information to the Governor on the State's food policy,Council,shall ,provide,information on the State's food policy,to the Governor,N/A,,,,
The Council shall] prepare ...annual report concerning its activities with any appropriate recommendations concerning food policy.,Council,shall ,prepare ,annual report concerning its activities with any appropriate recommendations concerning food policy,[annually],N/A,,,,
"The Council shall]... submit to the joint standing committee of the General Assembly having cognizance of matters relating to the environment
an annual report concerning its activities with any appropriate recommendations concerning food policy.",Council,shall ,submit,annual report concerning its activities with any appropriate recommendations concerning food policy,to the joint standing committee of the General Assembly having cognizance of matters relating to the environment,N/A,,,,
"The council may use such funds as may be available from federal, state or other sources... to carry out the purposes of this
section.",Council,may,use,"such funds as may be available from federal, state or other sources","to carry out the purposes of this
section",N/A,,,,
"The council...may enter into contracts to carry out the purposes of this
section.",Council,may ,enter ,how into contracts to  carry out the purposes of this section,[at all times],N/A,,,,
"The council may, subject to the provisions of chapter 67, employ any necessary staff within available appropriations.",Council,may,employ,any necessary staff,within available appropriations,subject to the provisions of chapter 67,,,,
