Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
The Douglas Food Policy Council (henceforth) is hereby established  as a joint advisory council to the City and Council,,,,,,,,,,
"The DCFPC seeks to identify the benefits, challenges, and opportunities for a successful, sutainable local food system in Lawrence and Douglas County ",DCFPC,N/A,seeks,N/A,"to identify the benefits, challenges, and opportunities for a successful, sutainable local food system in Lawrence and Douglas County ",N/A,,,,
The DCFPC will serve as a forum for discussion and coordination for community wide efforts to improve the community's access to local food supplies and distribution networks.,DCFPC,will [shall],serve,,as a forum for discussion and coordination for community wide efforts to improve the community's access to local food supplies and distribution networks.,,,,,
"Therefore, the DCFPC will focus on the following priority areas: A) economic development and entrepreneurial opportunities related to local food production and consumption; and B) improve health outcomes; and C) positive environmental quality impacts; and D) increased acces to, and distribution of, wholesome, local foods; and E) support for local food producers of sustainable food products; and F) identification, preservation, and/or sustainable development of local resources including soil, agricultural land, important breeders/cultivars, water, skilled labor, capital, and markets; and G) Increased education and awareness on the part of Douglas County residents regarding the benefits of locally produced foods.",DCFPC,will [shall],focus,N/A,"on the following priority areas: A) economic development and entrepreneurial opportunities related to local food production and consumption; and B) improve health outcomes; and C) positive environmental quality impacts; and D) increased acces to, and distribution of, wholesome, local foods; and E) support for local food producers of sustainable food products; and F) identification, preservation, and/or sustainable development of local resources including soil, agricultural land, important breeders/cultivars, water, skilled labor, capital, and markets; and G) Increased education and awareness on the part of Douglas County residents regarding the benefits of locally produced foods.",N/A,,,,
"There shall be 23 members on the DCFPC, comprised as follows: a) County appointed: Three at large members one appointed by the county commissioner from each county commission district; b) city appointed: two at-large members, appointed by the Lawrence City Commission; c) county appointed: three agricultural producers; d) city appointed: one agricultural producer; e) county appointed: one representative of a retail food outlet; f) city appointed: two representatives of retail outlets; g) county appointed: one institutional food producer; h) county appointed: one representative from an educational institution or organization located within Douglas County; i) county appointed: one representative of the Douglas County Extension Service; j) city appointed: one representative of the city of lawrence sustainability advisory board; k) city appointed: one person working in the area of hunger and food insecurity; l) county appointed: one person representing a non-governmental organization working in the area of health, nutrition or medical care; m) county appointed: one person representing a non-government organization working in the area of agriculture or loca food systems; n) city appointed: one representative of an established farmer's market in Douglas County; o) county appointed: one representative of Lawrence/Douglas County Chamber of Commerce; p) county appointed: one youth representative (age 18-30) with demonstrated interest in food system issues; q) county appointed: one person representing senior food and nutritional programs in Douglas County.",DCFPC,shall,be [have],"23 members comprised as follows: a) County appointed: Three at large members one appointed by the county commissioner from each county commission district; b) city appointed: two at-large members, appointed by the Lawrence City Commission; c) county appointed: three agricultural producers; d) city appointed: one agricultural producer; e) county appointed: one representative of a retail food outlet; f) city appointed: two representatives of retail outlets; g) county appointed: one institutional food producer; h) county appointed: one representative from an educational institution or organization located within Douglas County; i) county appointed: one representative of the Douglas County Extension Service; j) city appointed: one representative of the city of lawrence sustainability advisory board; k) city appointed: one person working in the area of hunger and food insecurity; l) county appointed: one person representing a non-governmental organization working in the area of health, nutrition or medical care; m) county appointed: one person representing a non-government organization working in the area of agriculture or loca food systems; n) city appointed: one representative of an established farmer's market in Douglas County; o) county appointed: one representative of Lawrence/Douglas County Chamber of Commerce; p) county appointed: one youth representative (age 18-30) with demonstrated interest in food system issues; q) county appointed: one person representing senior food and nutritional programs in Douglas County.",[at all times],N/A,,,,
Appointment of agricultural producers should strive for representation from both the Kansas and Wakarusa watersheds…,DCFPC,should,strive,N/A,for representation from both the Kansas and Wakarusa watersheds,N/A,,,,
"...and include a producer of animal protein, a producer of specialty crops, a commodity producer, and at least one involved in direct marketing of products",DCFPC,should,include,"a producer of animal protein, a producer of specialty crops, a commodity producer, and at least one involved in direct marketing of products",[in appointing members for the Council],N/A,,,,
"Appointment of retail food outlet representatives should strive for a balanced representation from retail grocery, restaurant, and emerging food businesses",DCFPC,should,strive,"or a balanced representation from retail grocery, restaurant, and emerging food businesses",[in] appointment of retail food outlet representatives,N/A,,,,
Term lengths and limits shall be governed as follows: Members should be appointed by the Lawrence City Commission or the Douglas County Commission for a term of three years,Lawrence City Commission or the Douglas County Commission,should,be appointed [appoint],members [of the DCFPC],for a term of three years,N/A,,,,
Terms of service will begin at the start of the first meeting of the calendar year,[Members],will [shall],begin,terms of service,at the start of the first meeting of the calenday year,N/A,,,,
