Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"There shall be established a Massachusetts food policy council, hereinafter referred to as the council.",,,,,,,,,,
"The council shall consist of 17 members, 1 of whom shall be a member of the house of representatives; 1 of whom shall be a member of the senate; 1 of whom shall be a member of the house of representatives who shall be appointed by the minority leader of the house of representatives; 1 of whom shall be a member of the senate who shall be appointed by the minority leader of the senate; 1 of whom shall be the commissioner of agricultural resources, or the commissioner’s designee; 1 of whom shall be the commissioner of public health, or the commissioner’s designee; 1 of whom shall be the commissioner of elementary and secondary education, or the commissioner’s designee; 1 of whom shall be the commissioner of environmental protection, or the commissioner’s designee; 1 of whom shall be the commissioner of transitional assistance or the commissioner’s designee; 1 of whom shall be the secretary of housing and economic development, or the secretary’s designee; and 7 of whom shall be appointed by the governor, 1 of whom shall be a farmer or representative of a farm organization, 1 of whom shall represent food distribution, processing and marketing interests, 1 of whom shall represent direct-to-consumer marketing efforts, 1 of whom shall represent a local health department addressing food safety and nutrition, 1 of whom shall be an expert in food safety, 1 of whom shall be an expert in food processing and handling and 1 of whom shall represent community-based efforts addressing nutrition and public health. ",Council,shall,consist of,"17 members, 1 of whom shall be a member of the house of representatives; 1 of whom shall be a member of the senate; 1 of whom shall be a member of the house of representatives who shall be appointed by the minority leader of the house of representatives; 1 of whom shall be a member of the senate who shall be appointed by the minority leader of the senate; 1 of whom shall be the commissioner of agricultural resources, or the commissioner’s designee; 1 of whom shall be the commissioner of public health, or the commissioner’s designee; 1 of whom shall be the commissioner of elementary and secondary education, or the commissioner’s designee; 1 of whom shall be the commissioner of environmental protection, or the commissioner’s designee; 1 of whom shall be the commissioner of transitional assistance or the commissioner’s designee; 1 of whom shall be the secretary of housing and economic development, or the secretary’s designee; and 7 of whom shall be appointed by the governor, 1 of whom shall be a farmer or representative of a farm organization, 1 of whom shall represent food distribution, processing and marketing interests, 1 of whom shall represent direct-to-consumer marketing efforts, 1 of whom shall represent a local health department addressing food safety and nutrition, 1 of whom shall be an expert in food safety, 1 of whom shall be an expert in food processing and handling and 1 of whom shall represent community-based efforts addressing nutrition and public health. ",[at all times],N/A,,,,
Members of the council shall be appointed for terms of 3 years or until a successor is appointed.,[Appointing authority],shall,be appointed [appoint],members of the council,for terms of 3 years or until a successor is appointed,N/A,,,,
Members shall be eligible for reappointment.,Members,shall ,be eligible,N/A,for reappointment,N/A,,,,
The chair of the council shall be elected by the members of the council for a term not to exceed 2 years.,Members of the council,shall,be elected [elect],chair of the council,for a term not to exceed 2 years,N/A,,,,
"In the event of a vacancy, the original appointing authority shall, within 60 days of the occurrence of a vacancy, appoint a new member in accordance with subsection (a) to fulfill the remainder of the unexpired term. ",Original appointing authority ,shall,appoint,a new member ,in the event of a vacancy in accordance with subsection (a) to fulfill the remainder of the unexpired term,N/A,,,,
Members of the council shall serve without compensation. ,Members of the council,shall ,serve,N/A,without compensation,N/A,,,,
The council may request administrative support from the department. ,Council,may ,request,administrative support,from the department,N/A,,,,
The council shall have an advisory committee.,Council,shall ,have,an advisory committee,[at all times],N/A,,,,
The council shall appoint members to the advisory committee…,Council,shall,appoint,members,to the advisory committee,N/A,,,,
"...and the committee shall include, but not be limited to, the following members: 2 of whom shall be active farmers or who shall represent farmer associations; 1 of whom shall represent an organization engaged in farmland protection and conservation; 1 of whom shall represent an organization engaged in developing new farm businesses, urban and community supported agriculture, community gardening, immigrant and refugee farming or youth education through agriculture; 1 of whom shall represent the cooperative extension service at the University of Massachusetts at Amherst; 1 of whom shall represent food distribution, processing and marketing interests; 1 of whom shall represent a school of nutrition or public health; 1 of whom shall represent a community-based coalition or health care provider addressing obesity and chronic disease; 1 of whom shall represent citizens in need of transitional assistance; and 1 of whom shall represent an anti-hunger organization.",[Council],shall,include [but not be limited to],"the following members: 2 of whom shall be active farmers or who shall represent farmer associations; 1 of whom shall represent an organization engaged in farmland protection and conservation; 1 of whom shall represent an organization engaged in developing new farm businesses, urban and community supported agriculture, community gardening, immigrant and refugee farming or youth education through agriculture; 1 of whom shall represent the cooperative extension service at the University of Massachusetts at Amherst; 1 of whom shall represent food distribution, processing and marketing interests; 1 of whom shall represent a school of nutrition or public health; 1 of whom shall represent a community-based coalition or health care provider addressing obesity and chronic disease; 1 of whom shall represent citizens in need of transitional assistance; and 1 of whom shall represent an anti-hunger organization.",[on the Council],N/A,,,,
The council may create other committees as it deems necessary to carry out the purpose of this section. ,Council,may ,create,other committees,as it deems necessary to carry out the purpose of this section,N/A,,,,
The advisory committee and any other committees shall serve at the direction of the council. ,advisory committee and any other committees,shall,serve,N/A,at the direction of the council,N/A,,,,
