Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
The Counci shall be called the Grant County Food Policy Council ,[Grant County],shall ,be called [call] ,the Council,Grant County Food Policy Council,N/A,,,,
"The purpose of the Council is to integrate all departments of the County as well as a diverse group of public and private stakeholders in a collaborative effort to recommend policies, implement projects, create awareness, and encourage partnerships to fulfill the County food policy",,,,,,,,,,
"The Council may: a. monitor the availability, access, price, and quality of food throughout Grant County; ",Council,may,monitor," the availability, access, price, and quality of food throughout Grant County",[at all times],N/A,,,,
b. [The council may] collect data on the food security and nutritional status of County residents; ,Council,may,collect,data on the food security and nutritional status of County residents,[at all times],N/A,,,,
"c. [The council may] through the issuance of reports and other communication, inform County and policy makers, administrators, communities, and the public at large about the status of the region's food system and food security; ",Council,may,inform,"County and policy makers, administrators, communities, and the public at large","about the status of the region's food system and food security through the issuance of reports and other communication, ",N/A,,,,
d. [The council may] monitor and analyze the administration of County food and nutrition programs; ,Council,may,monitor and analyze,the administration of County food and nutrition programs,[at all times],N/A,,,,
"e. [The council may] explore new means for the County government and its communities to improve the food economy, the availability, accessibility and quality of food and assit the County government and its communities in the coordination of their efforts;",Council,may,explore,"explore new means for the County government and its communities to improve the food economy, the availability, accessibility and quality of food and assit the County government and its communities in the coordination of their efforts",[at all times],N/A,,,,
" f) [The council may] recommend to the County government and its communities the adoption of measures that will improve existing and add new programs, projects, regulations, or services when needed; ",Council,may,recommend,"the adoption of measures that will improve existing and add new programs, projects, regulations, or services when needed",to the County government and its communities,N/A,,,,
"g) [The council may] prioritize and recommend potential food policies and intiatives for the County government and its communities to adopt and implement related to: 1) economic vitality of food and farming sectors; 2) public health and quality of life; 3) transportation and infrastructure; 4) land, water, and natural resource conservation and management; 5) food insecurity; 6) education; 7) referrals to social services; 8) direct service of food; 9) direct and indirect purchase of food; 10) advocacy before state and federal legislatures and agencies; 11) support of private efforts; and 12) and other direct and indirect issues related to the food and agricultural system",Council,may,prioritize and recommend,"potential food policies and intiatives for the County government and its communities to adopt and implement related to: 1) economic vitality of food and farming sectors; 2) public health and quality of life; 3) transportation and infrastructure; 4) land, water, and natural resource conservation and management; 5) food insecurity; 6) education; 7) referrals to social services; 8) direct service of food; 9) direct and indirect purchase of food; 10) advocacy before state and federal legislatures and agencies; 11) support of private efforts; and 12) and other direct and indirect issues related to the food and agricultural system",[at all times],N/A,,,,
Council members will: a. prioritize issues for council action,Council members,will [shall],prioritize,issues for council action,[at all times],N/A,,,,
[Council members will]: b. serve on the Council's subcomittees,[Council members],will [shall],serve,N/A,on the Council's subcommittees,N/A,,,,
[Council members will]: c. assume a leadership role within the community related to food issues,[Council members],will [shall],assume,a leadership role related to food issues,within the community,N/A,,,,
[Council members will]: d. bring areas of concern to the attention of the Council,[Council members],will [shall],bring ,areas of concern,to the attention of the Council,N/A,,,,
[Council members will]: e. serve as the eyes and ears of the Council in the broader community,[Council members],will [shall],serve,N/A,as the eyes and ears of the Council in the broader community,N/A,,,,
[Council members will]: f. attend meetings and public events as necessary,[Council members],will [shall],attend,meetings and public events,as necessary,N/A,,,,
[Council members will]: g. participate in special Council activities and events,[Council members],will [shall],participate,N/A,in special Council activities and events,N/A,,,,
[Council members will]: h. identify opporunities for promoting food programs and other efforts intended to reach the goals of the County food policy,[Council members],will [shall],identify,identify opporunities for promoting food programs and other efforts intended to reach the goals of the County food policy,[at all times],N/A,,,,
