Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"The Michigan Food Policy Council is created as an advisory body within the Department to assist the Department and the Governor in fostering a healthy and available food supply to all of Michigan’s residents while enhancing the state’s agricultural and natural resources, encouraging economic growth, expanding the viability of small- to mid-scale farms, and improving the health of our communities and Michigan residents.",,,,,,,,,,
The Council shall consist of 21 members.,Council,shall,consist of,21 members,[at all times],N/A,,,,
"The Council shall include the following ex officio members from within state government:
1. The Director of the Department of Agriculture or his or her designee from within the Department of Agriculture.
2. The Director of the Department of Community Health or his or her designee from within the Department of Community Health.
3. The Director of the Department of Environmental Quality or his or her designee from within the Department of Environmental Quality.
4. The Director of the Department of Human Services or his or her designee from within the Department of Human Services.
5. The Director of the Department of Labor and Economic Growth or his or her designee from within the Department of Labor and Economic Growth.
6. The Superintendent of Public Instruction or his or her designee from within the Department of Education.
",Council,shall,include,"the following ex officio members from within state government:
1. The Director of the Department of Agriculture or his or her designee from within the Department of Agriculture.
2. The Director of the Department of Community Health or his or her designee from within the Department of Community Health.
3. The Director of the Department of Environmental Quality or his or her designee from within the Department of Environmental Quality.
4. The Director of the Department of Human Services or his or her designee from within the Department of Human Services.
5. The Director of the Department of Labor and Economic Growth or his or her designee from within the Department of Labor and Economic Growth.
6. The Superintendent of Public Instruction or his or her designee from within the Department of Education.
",,,,,,
"[The Council shall include] The following members appointed by the Governor:
1. Two individuals representing Michigan agricultural organizations.
2. Two individuals representing sustainable agriculture or sustainable agricultural development.
3. One individual representing institutions of higher education.
4. One individual representing K-12 schools.
5. One individual representing community-based urban development activities.
6. One individual representing rural development activities.
7. One individual representing anti-hunger organizations.
8. One individual representing public health organizations or persons with expertise in public health.
9. One individual representing food processors.
10. One individual representing food retailers.
11. One individual representing non-food manufacturers.
12. One individual representing restaurants.
13. One individual representing organized labor.
",[Council],[shall],[include],"The following members appointed by the Governor:
1. Two individuals representing Michigan agricultural organizations.
2. Two individuals representing sustainable agriculture or sustainable agricultural development.
3. One individual representing institutions of higher education.
4. One individual representing K-12 schools.
5. One individual representing community-based urban development activities.
6. One individual representing rural development activities.
7. One individual representing anti-hunger organizations.
8. One individual representing public health organizations or persons with expertise in public health.
9. One individual representing food processors.
10. One individual representing food retailers.
11. One individual representing non-food manufacturers.
12. One individual representing restaurants.
13. One individual representing organized labor.
",[at all times],N/A,,,,
 Members of the Council appointed by the Governor under Section II.D shall be appointed for terms of 2 years. ,Governor,shall,be appointed [appoint], Members of the Council appointed by the Governor under Section II.D,for terms of 2 years,N/A,,,,
A vacancy caused other than by expiration of a term shall be filled in the same manner as the original appointment for the remainder of the term.,[Governor or State Government],shall,be filled [fill],A vacancy caused other than by expiration of a term,in the same manner as the original appointment for the remainder of the term,N/A,,,,
The Director of the Department of Agriculture shall serve as the Chairperson of the Council. ,The Director of the Department of Agriculture,shall,serve,N/A,as the Chairperson of the Council,N/A,,,,
The members of the Council shall select members of the Council to serve as Vice-Chairperson and Secretary of the Council.,The members of the Council,shall,select,members of the Council,to serve as Vice-Chairperson and Secretary of the Council.,N/A,,,,
"The goals of the Michigan Food Policy Council shall include all of the following:
1. Increasing economic activity in Michigan resulting in new and expanded businesses and jobs across all food-related sectors in this state.
2. Strengthening Michigan’s urban and rural areas with food-related revitalization projects.
3. Increasing access to fresh and healthy Michigan-grown foods, including for school children, low-income families, at-risk seniors, and inner-city residents.
4. Promoting institutional and public purchase and consumption of Michigan-grown and Michigan-processed foods.
5. Enhancing the viability of small- to mid-scale family farms in Michigan by promoting direct farm marketing, sustainable agriculture, and agri-tourism, among other initiatives.
6. Preserving farmland as open space and amplifying the environmental benefits of agriculture by promoting sustainable agriculture practices in Michigan.
7. Identifying strategies to increase collaboration and communication between state agencies in the delivery of food-related programs and evaluation of collaborative opportunities.
8. Recommending approaches that maximize coordination of existing federal, state, and local resources and capture additional federal resources for Michigan.
9. Identifying or recommending programs or pilot programs that enhance access to Michigan-grown foods and Michigan-processed foods.
10. Identifying mechanisms by which Michigan may expand markets for Michigan agricultural products, including, but not limited to, niche markets such as “organically-produced,” “pasture-raised,” and “sustainably-grown” agricultural products.
11. Developing strategies aimed at enhancing connections between Michigan growers and Michigan food outlets.
12. Developing recommendations to the Department and the Governor not later than October 1, 2006 to encourage the creation of at least 1,000 new food-related jobs in Michigan.
",,,,,,,,,,
"The Council shall do all of the following:
1. Develop and adopt 6-month, 12-month, and a 24-month recommended action plan for achieving the goals of the Council.
",Council,shall,develop and adopt,"6-month, 12-month, and a 24-month recommended action plan for achieving the goals of the Council",[at all times],N/A,,,,
