Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
There is hereby created a New York State Council on Food Policy.,,,,,,,,,,
"The Council shall consist of twenty-one members appointed by the Governor as follows: (a) the Commissioner of Agriculture and Markets, the Commissioner of Health, the Commissioner of the Office of Temporary Disability Assistance, the Commissioner of Education, the Commissioner of the Department of Economic Development and the Director of the Office for the Aging; (b) four members with experience and expertise related to agriculture, nutrition or food policy appointed on the recommendation of the legislative leaders, one each by the Temporary President of the Senate, the Speaker of the Assembly, the Minority Leader of the Senate, and the Minority Leader of the Assembly; (c) the Dean of the New York State College of Agriculture and Life Sciences; (d) one member representing farm organizations; (e) one member representing school food administrators; (f) one member representing consumers; (g) two members representing an organization that provides food assistance; (h) one member representing anti-hunger advocates; (i) one member who is a nutritionist; and (j) three members representing the food industry, including producers, distributors, processors or retailers who are residents of and work in the State of New York, at least one of whom produces organic food.",Coucil,shall,consist of,"of twenty-one members appointed by the Governor as follows: (a) the Commissioner of Agriculture and Markets, the Commissioner of Health, the Commissioner of the Office of Temporary Disability Assistance, the Commissioner of Education, the Commissioner of the Department of Economic Development and the Director of the Office for the Aging; (b) four members with experience and expertise related to agriculture, nutrition or food policy appointed on the recommendation of the legislative leaders, one each by the Temporary President of the Senate, the Speaker of the Assembly, the Minority Leader of the Senate, and the Minority Leader of the Assembly; (c) the Dean of the New York State College of Agriculture and Life Sciences; (d) one member representing farm organizations; (e) one member representing school food administrators; (f) one member representing consumers; (g) two members representing an organization that provides food assistance; (h) one member representing anti-hunger advocates; (i) one member who is a nutritionist; and (j) three members representing the food industry, including producers, distributors, processors or retailers who are residents of and work in the State of New York, at least one of whom produces organic food",[at all times],N/A,,,,
The Commissioner of Agriculture and Markets shall serve as the Chairperson of the Council.,Commissioner of Agriculture and Markets,shall,serve,N/A,as the Chairperson of the Council,N/A,,,,
The members of the Council who serve in an ex officio capacity may designate a representative to participate on the Council on their behalf.,The members of the Council who serve in an ex officio capacit,may,designate,a representative,to participate on the Council on their behalf,N/A,,,,
The Council shall set the time and place of its meetings... ,Council,shall,set,the time and place of its meetings,[at all times],N/A,,,,
and meet as frequently as business requires but shall meet at least twice each year,[Council],[shall],meet,N/A,"as frequently as business requires, but shall meet at least twice each year",N/A,,,,
A majority of the members of the Council shall constitute a quorum…,A majority of the members of the Coucnil,shall,constitute,a quorum,[at all times],N/A,,,,
...and an affirmative vote of the majority of the members of the Council shall be required for any action by the Council,[Council],shall,be required [require] ,an affirmative vote of the majority of the members of the Council,for any action by the Council,N/A,,,,
"The Council shall: (a) develop and recommend a food policy for the State which recognizes that it is in the best interests of the State to ensure the availability of an adequate supply of affordable, fresh, nutritious food to its residents;",Council ,shall,develop and recommend," a food policy for the State which recognizes that it is in the best interests of the State to ensure the availability of an adequate supply of affordable, fresh, nutritious food to its residents",[at all times],N/A,,,,
"[The council shall] develop and recommend State policies to expand agricultural production, including locally-grown and organically-grown food;",[Council],shall,develop and recommend,"State policies to expand agricultural production, including locally-grown and organically-grown food",[at all times],N/A,,,,
"[The council shall] develop and recommend a strategic plan for implementation of the State food policy, including benchmarks and criteria for measuring progress in achieving State food policy objectives;",[Council],shall,develop and recommend," a strategic plan for implementation of the State food policy, including benchmarks and criteria for measuring progress in achieving State food policy objectives",[at all times],N/A,,,,
"[The council shall] offer comments on State regulations, legislation and budget proposals in the area of food policy, to ensure a coordinated and comprehensive inter-agency approach to food policy issues.",[Council],[shall],offer,"comments on State regulations, legislation and budget proposals in the area of food policy, to ensure a coordinated and comprehensive inter-agency approach to food policy issues.",[at all times],N/A,,,,
The Council shall issue a written report on the first day of December each year on: (a) the activities of the Council during the preceding year; (b) recommended food policies for the State; (c) recommended changes to the strategic plan; (d) an account of the progress made in achieving the goals of the Council; and (e) actions which are necessary to implement the recommendations of the Council and effectuate the purposes of this Order.,Council,shall,issue ,a written report on: (a) the activities of the Council during the preceding year; (b) recommended food policies for the State; (c) recommended changes to the strategic plan; (d) an account of the progress made in achieving the goals of the Council; and (e) actions which are necessary to implement the recommendations of the Council and effectuate the purposes of this Order,on the first day of December each year,N/A,,,,
"No member of the Council shall be disqualified from holding any public office or employment,…",Council members,shall [not] ,be disqualified,N/A,from holding any public office or employment,N/A,,,,
...nor shall he or she forfeit any such office or employment by virtue of his or her appointment hereunder.,[Council members],shall not,forfeit,any such office [public office] or employment,by virtue of his or her appointment hereunder,N/A,,,,
Members of the Council shall receive no compensation for their services but shall be allowed their actual and necessary expenses incurred in the performance of their functions hereunder…,Members of the Council,shall [not] ,receive,compensation for their services,[at all times],N/A,,,,
...but shall be allowed their actual and necessary expenses incurred in the performance of their functions hereunder,[Members of the Council],shall,be allowed,their actual and necessary expenses incurred in the performance of their functions hereunder,[at all times],N/A,,,,
All members of the Council shall serve at the pleasure of the Governor…,All members of the Council,shall, serve,N/A,at the pleasure of the Governor,N/A,,,,
...and vacancies shall be filled in the same manner as original appointments.,[Appointing authority],shall ,be filled [fill],vacancies,in the same manner as initial appointments,N/A,,,,
"Every agency department, office, division or public authority of this State shall cooperate with the Council …","Every agency department, office, division or public authority of this State",shall,cooperate,N/A,with the Council,N/A,,,,
...and furnish such information and assistance as the Council determines is reasonably necessary to accomplish its purpose.,"[Every agency department, office, division or public authority of this State]",shall,furnish,such information and assistance as the Council determines is reasonably necessary to accomplish its purpose,[at all times],N/A,,,,
