Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"Except for operations exempt or excluded in §205.101, each production or handling operation or specified portion of a production or handling operation that produces or handles crops, livestock, livestock products, or other agricultural products that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))” must be certified according to the provisions of subpart E of this part","Except for operations exempt or excluded in §205.101, each production or handling operation or specified portion of a production or handling operation that produces or handles crops, livestock, livestock products, or other agricultural products that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”",must,be certified [get],[certification],,,,,,
and must meet all other applicable requirements of this part,"[each production or handling operation or specified portion of a production or handling operation that produces or handles crops, livestock, livestock products, or other agricultural products that are intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s))”]",must,meet,all other applicable requirements,,,,,,
Any production or handling operation or specified portion of a production or handling operation that has been already certified by a certifying agent on the date that the certifying agent receives its accreditation under this part shall be deemed to be certified under the Act until the operation's next anniversary date of certification,[the USDA],shall [must],deemed to be certified ,Any production or handling operation or specified portion of a production or handling operation that has been already certified by a certifying agent on the date that the certifying agent receives its accreditation under this part ,,,,,,
"Such recognition shall only be available to those operations certified by a certifying agent that receives its accreditation within 18 months from February 20, 2001.",[A certifying agent],shall [must],be available,Such recognition ,,,,,,
"Any operation that: (1) Knowingly sells or labels a product as organic, except in accordance with the Act, shall be subject to a civil penalty of not more than 3.91(b)(1)(xxxvii) of this title per violation.",[the United States Department of Agriculture],shall [must],be subject,"Any operation that: (1) Knowingly sells or labels a product as organic, except in accordance with the Act, ",,,,,,
"(2) Makes a false statement under the Act to the Secretary, a governing State official, or an accredited certifying agent shall be subject to the provisions of section 1001 of title 18, United States Code",[the United States Department of Agriculture],shall [must],be subject,"[Any operation that:] (2) Makes a false statement under the Act to the Secretary, a governing State official, or an accredited certifying agent",,,,,,
"(a) Exemptions. (1) A production or handling operation that sells agricultural products as “organic” but whose gross agricultural income from organic sales totals $5,000 or less annually is exempt from certification under subpart E of this part ",[the United States Department of Agriculture],[must],is exempt,"A production or handling operation that sells agricultural products as “organic” but whose gross agricultural income from organic sales totals $5,000 or less annually ",,,,,,
and from submitting an organic system plan for acceptance or approval under §205.201 ,[the United States Department of Agriculture],[must],[is exempt],"[A production or handling operation that sells agricultural products as “organic” but whose gross agricultural income from organic sales totals $5,000 or less annually ]",,,,,,
but must comply with the applicable organic production and handling requirements of subpart C of this part and the labeling requirements of §205.310,"[A production or handling operation that sells agricultural products as “organic” but whose gross agricultural income from organic sales totals $5,000 or less annually ]",must,comply with,the applicable organic production and handling requirements of subpart C of this part and the labeling requirements of §205.310,,,,,,
The products from such operations shall not be used as ingredients identified as organic in processed products produced by another handling operation.,"[A production or handling operation that sells agricultural products as “organic” but whose gross agricultural income from organic sales totals $5,000 or less annually ]",shall not [must not],be used ,The products from such operations ,,,,,,
