Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
No impersonating getMaNGOS admins/staff or GMs. No claiming to be a GM.,[You],[Must not],impersonating,admins/staff or GMs,,,,,,
We reserve the right to change or alter these rules at any time. ,We,reserve the right,to change or alter,these rules,at anytime.,,,,,
We do not have to give warning before we take action with the following rules. ,We,do not have to,give,warning,Before we take action with the following rules,,,,,
We do this by enforcing the following rules and regulations:,We,[shall],enforcing,the following rules and regulations,,,,,,
Rule 1) Spamming world chat.,[You],[must not],spamming,world chat,,"Punishments on Minor offensives is warning, mute, kick or ban, depending on the situation.",,,,
Rule 2) Talking on the world chat with coloured text is not allowed.,[You],[must not],talking on the world chat with colored text,allowed,,,,,,
"Rule 3) Talking in another language other than English in public chats (world chat, LFG chat, Guild recruitment channel chat etc).",[You],[must not],Talking in another language other than English,minor offensives,"in public chats (world chat, LFG chat, Guild recruitment channel chat etc).",,,,,
Rule 4) Character or guild name is inappropriate: Compulsory rename; the name change will be free.,[You],[must not],,,Character or guild name,,,,,
Rule 5) Inappropriate and controversial content.,[You],[must not],[post],inappropriate and conversial content,,"Punishments on Minor offensives is warning, mute, kick or ban, depending on the situation.",,,,
"Rule 6) The use of inappropriate and offensive language in general, or against another player is not allowed",[You],[must not],,,in general,,,,,
"Rule 7) PvP in Hyjal Mall, Can be dealt with a more severe punishment if repetitively done.",[You],[must not],,,,,,,,
"Exceptional: You are only allowed to login at the mall with multiple accounts to use buffs, trade materials, gold, items, bank and proffessions between your own characters.",[You],[May],login at the mall with multiple accouts,,"to use buffs, trade materials, gold, items, bank and proffessions between your own characters.",,,,,
"12, 24, 48, 72 hours, 5 to 7 days, or a permanent ban of the account/s and IP, depends on situation. ",[You],[shall not],insulting or harassing,another player,,"12, 24, 48, 72 hours, 5 to 7 days, or a permanent ban of the account/s and IP",,,,
"Warning first, if the account sharing continues it will lead to 24h/permanent ban.",[You],[must not],sharing,the account,,"Warning first, if the account sharing continues it will lead to 24h/permanent ban.",,,,
48 hours or permanent on all involved accounts.,[You],[shall not],using,multiple accounts,to farm PvP conditions,48 hours or permanent on all involved accounts.,,,,
72 hours or permanent.,[You],[shall not],"Haking: the use of any kind of third party software, and any kind of hacking",,,72 hours or permanent.,,,,
48 hours or permanent.,[You],[shall not],AFK Farming,Battlegrounds,,48 hours or permanent.,,,,
48 or 72 hours.,[You],[shall not],Abuse of the ingame mail system,,,48 or 72 hours,,,,
24 hours.,[You],[shall not],gambling or casinos,,,24 hours,,,,
Permanent account ban.,[You],[shall not],voting with multiple accounts to again adventage of the store,,,Permanant account ban,,,,
"If you're waiting\\for a sign,\\this is it.\\",[You],[may],wait,sign,,,,,,
Useful commands:\\/setmoney add|\\|remove <amount>\\/bal,[You],[may],use,useful commands,,,,,,
[SurvivalGames]\\Click to join\\Arena 2,[You],[must],click,,to join arena 2,,,,,
Do /warp Rules\\to  learn the\\rules of the\\server,[You],[may],do,/wrap rules,to learn the rules of the server,,,,,
PVP\\is ACTIVE in\\the Hole!,PvP,[shall],is ACTIVE,,in the Hole,,,,,
PVP\\is ACTIVE in\\the Hole!,PvP,[shall],is ACTIVE,,in the Hole,,,,,
Enchant1\\is the region\\name.\\Dont destroy,[You],[must not],destroy,Enchant1,,,,,,
PVP\\is ACTIVE in\\the Hole!,PvP,[shall],is ACTIVE,,in the Hole,,,,,
PVP\\is ACTIVE in\\the Hole!,PvP,[shall],is ACTIVE,,in the Hole,,,,,
Go to back to\\Spawn and walk\\into the Portal\\of your Rank,[You],[may],Go to back to\\Spawn and walk\\into,the Portal\\of your Rank,,,,,,
Our Forums\\ask staff/\\Players for\\Link,[You],[may],ask staff/\\Players for\\Link,,,,,,,
===============\\No Griefing in\\Prison World\\===============,[You],[must not],griefing,,,in Prison World,,,,
===============\\No Asking for\\Money\\===============,[You],[must not],asking,money,,,,,,
===============\\No Giving out\\Free Money\\===============,[You],[must not],giving,free money,,,,,,
===============\\No Asking for\\Itmes/Ranks\\===============,[You],[must not],asking,items ranks,,,,,,
