id,sid,tid,word,lemma,upos,pos,cid,source,relation,word_source,lemma_source,sentiment,CodeType
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,1,
doc1,1,1,be,be,VERB,VB,0,3,auxpass,resolved,resolve,1,
doc1,1,2,it,it,PRON,PRP,3,3,nsubjpass,resolved,resolve,1,
doc1,1,3,resolved,resolve,VERB,VBN,6,0,root,ROOT,ROOT,1,
doc1,1,4,",",",",.,",",14,3,punct,resolved,resolve,1,
doc1,1,5,that,that,ADP,IN,16,15,mark,supports,support,1,
doc1,1,6,the,the,DET,DT,21,7,det,council,council,1,
doc1,1,7,council,council,NOUN,NN,25,15,nsubj,supports,support,1,Attribute
doc1,1,8,of,of,ADP,IN,33,10,case,city,city,1,Attribute
doc1,1,9,the,the,DET,DT,36,10,det,city,city,1,Attribute
doc1,1,10,city,city,NOUN,NN,40,7,nmod,council,council,1,Attribute
doc1,1,11,of,of,ADP,IN,45,13,case,orleans,orlean,1,Attribute
doc1,1,12,new,new,ADJ,JJ,48,13,amod,orleans,orlean,1,Attribute
doc1,1,13,orleans,orlean,NOUN,NNS,52,10,nmod,city,city,1,Attribute
doc1,1,14,strongly,strongly,ADV,RB,60,15,advmod,supports,support,1,
doc1,1,15,supports,support,VERB,VBZ,69,3,ccomp,resolved,resolve,1,Aim
doc1,1,16,the,the,DET,DT,78,17,det,creation,creation,1,Object
doc1,1,17,creation,creation,NOUN,NN,82,15,dobj,supports,support,1,Object
doc1,1,18,of,of,ADP,IN,91,23,case,panel,panel,1,Object
doc1,1,19,a,a,DET,DT,94,23,det,panel,panel,1,Object
doc1,1,20,food,food,NOUN,NN,96,23,compound,panel,panel,1,Object
doc1,1,21,policy,policy,NOUN,NN,101,23,compound,panel,panel,1,Object
doc1,1,22,advisory,advisory,ADJ,JJ,108,23,amod,panel,panel,1,Object
doc1,1,23,panel,panel,NOUN,NN,117,17,nmod,creation,creation,1,Object
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,1,
doc1,1,1,...,...,.,:,0,3,punct,requests,request,1,
doc1,1,2,and,and,CONJ,CC,4,3,cc,requests,request,1,
doc1,1,3,requests,request,NOUN,NNS,8,0,root,ROOT,ROOT,1,
doc1,1,4,that,that,DET,WDT,17,8,mark,given,give,1,
doc1,1,5,regular,regular,ADJ,JJ,22,6,amod,updates,update,1,Object
doc1,1,6,updates,update,NOUN,NNS,30,8,nsubjpass,given,give,1,Object
doc1,1,7,be,be,VERB,VB,38,8,auxpass,given,give,1,Aim
doc1,1,8,given,give,VERB,VBN,41,3,ccomp,requests,request,1,Aim
doc1,1,9,to,to,PRT,TO,47,12,case,projects,project,1,
doc1,1,10,the,the,DET,DT,50,12,det,projects,project,1,Condition
doc1,1,11,special,special,ADJ,JJ,54,12,amod,projects,project,1,Condition
doc1,1,12,projects,project,NOUN,NNS,62,8,nmod,given,give,1,Condition
doc1,1,13,and,and,CONJ,CC,71,12,cc,projects,project,1,Condition
doc1,1,14,economic,economic,ADJ,JJ,75,16,amod,committee,committee,1,Condition
doc1,1,15,development,development,NOUN,NN,84,16,compound,committee,committee,1,Condition
