Raw Institutional Statement,Attribute,oBject,Deontic,aIm,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
"Except as provided herein, no person may propagate, sell, broker, trade or transport or attempt to propagate, sell, broker, or transport any live fish or viable gametes unless the aquaculture facility which said person operates first obtains an aquaculture permit as provided  in these rules",facility owner and/or operator,any live fish or gametes,may [not] ,"propagate, sell, broker, trade or transport or attempt to propagate, sell, broker, or transport",,,,,,
A broker that never takes physical possession of said live fish and viable gametes shall not be required to have an aquaculture permit ,CDoA,A broker that never takes physical possession of said live fish and viable gametes ,shall not [must not] ,be required [require],,,,,,
"A person who only sells directly to individuals, for use as food, live fish from a holding tank that is not hydrologically connected to the waters of the state, and who does not propagate, transport, or release live fish into the waters of the state, shall not be required to have an aquaculture facility permit.",CDoA,"A person who only sells directly to individuals, for use as food, live fish from a holding tank that is not hydrologically connected to the waters of the state, and who does not
propagate, transport, or release live fish into the waters of the state",shall not [must not] ,be required [require] ,,,,,,
"A bait dealer shall not be required to have an aquaculture facility permit if all the live fish and viable gametes the dealer sells are obtained:  a. From a source that has been inspected and certified free of disease in accordance with Division regulations and policies, and b. Records are maintained and receipts provided to customers as required in section VI.E.",CDoA,a bait dealer,shall not [must not] ,be required [require],,,,,,
"No aquaculture facility permit shall be required for persons exempted from such requirement by sections 35-24.5-109(5) and (6), C.R.S.",CDoA,"persons exempted from such requirement by sections 35-24.5-109(5) and (6), C.R.S.",shall [not] [must not] ,be required [require],,,,,,
No aquaculture facility permit shall be required to transport legally obtained live fish or gametes for non-commercial personal use or consumption so long as such live fish or gametes are not released into the waters of the state. ,CDoA,[persons who have live fish or gametes not intended for commerical use] ,shall [not] [must not] ,be required [require],,,,,,
"Non-compliance with the provisions of this rule constitutes grounds for denial, suspension or revocation of an  aquaculture facility permit pursuant to the provisions of §35-24.5-110, C.R.S.",[Colorado Department of Agriculture],"grounds for denial, suspension, or revocaction of an aquaculture facility permit",N/A,constitutes,,,,,,
"Any permittee whose permit is denied, suspended, or revoked, by the Commissioner shall lawfully dispose of all live fish and viable gametes held pursuant to the permit in the manner and within the time period ordered by the Commissioner.","Any permittee whose permit is denied, suspended, or revoked by the Commissioner",live fish and viable gametes held,shall [must],dispose,,,,,,
"Except as otherwise prohibited by law, a permittee may sell, trade, transport or broker live fish or  viable gametes...for the purposes of propagating, selling, trading or transporting live fish or viable gametes.",Permittee,live fish or viable gametes,may,"sell, trade, transport, or broker",,,,,,
"Except as otherwise prohibited by law, a permittee may...operate a fish production facility for the purposes of propagating, selling, trading or transporting live fish or viable gametes.",Permittee,fish production facility,may ,operate,,,,,,
Several satellite stations of a fish production facility may operate under one aquaculture facility permit provided all such satellite stations are listed on such permit.,[Facility oweners and/or managers],several satellite stations of a fish production facility,may ,operate,,,,,,
All production facilities that sell or stock live fish shall obtain an annual fish health inspection performed by a qualified fish pathologist in accordance with Division regulations and policies.,All production facilities that sell or stock live fish ,fish health inspection,shall [must] ,obtain,,,,,,
Applicants for an aquaculture facility permit and renewal of a permit shall apply for required permits on forms provided by the Department accompanied by funds in the amount of one hundred dollars ($100.00).,Applicants for an aquaculture facility permit and renewal of a permit,required permits,shall,apply ,,,,,,
"Each applicant shall submit a signed, complete, accurate, and legible application.",each applicant,"a signed, ccomplete, accurate, and legible application",shall [must],submit,,,,,,
"An additional fee is not required to amend a permit (i.e., add more species).",[Colorado Department of Agriculture],"additional fee to amend a permit (i.e., add more species)",[must not],is not required,,,,,,
Aquaculture facility permits are non-transferable…,[Colorado Department of Agriculture],Aquaculture facility permits ,[must not],non-transferable [transfer],,,,,,
...[Aquaculture facility permits] and shall expire December thirty-first (31) of each year.,[Colorado Department of Agriculture],[Aquaculture facility permits],shall [must],expire,December thirty-first (31) of each year,,,,,
Applications for renewal of an aquaculture facility permit shall be postmarked on or before December 31 of the year preceding the year for which renewal is sought.,[Applicants] ,Applications for renewal of an aquaculture facility permit,shall [must] ,be postmarked,on or before December 31 of the year preceding the year for which renewal is sought,,,,,
Applicants shall list the species of fish they intend to possess.,Applicants,species of dfish they intend to possess,shall [must] ,list,,,,,,
A Division employee shall make a personal inspection of the applicant's facilities when considering an initial application to determine compliance with these regulations.,A Division employee ,applicant's facility,shall [must],inspect,,,,,,
"An aquaculture facility permit shall not be issued for waters that have been stocked with fish at public expense within five (5) years prior to application unless: (a) all fish stocked in such waters have been removed or eliminated (e.g., by winter kill) or (b) the applicant has negotiated with the Division for purchase or salvage of state-stocked fish.",[Colorado Department of Agriculture],aquaculture facility permit,shall not [must not],be issued,"for waters that have been stocked with fish at public expense within five (5) years prior to application unless: (a) all fish stocked in such waters have been removed or eliminated (e.g., by winter kill) or (b) the applicant has negotiated with the Division for purchase or salvage of state-stocked fish",,,,,
"All waters shall be equipped with screening installations, if necessary, to prevent fish in public waters or private lakes from entering the permitted production facilities or lake(s), or prevent fish in the permitted production facilities or lake(s) from entering public waters.",[Facility owners and/or employees],screening installations ,shall [must], be equipped ,,,,,,
"An application for an aquaculture facility permit issuance or renewal may be denied in its  entirety or limited as to species authorized to be kept if necessary to protect Colorado's wildlife resources or cultured aquatic stock from a negative impact such as: a. Potential habitat competition, damage or destruction. b. Disruption of migration, breeding, or rearing and survival of young. c. Predation. d. Danger to humans, domestic livestock or property. e. Disease.",[Colorado Department of Agriculture],application for an aquaculture facility permit or renewal,may,be denied or limited,,,,,,
"An aquaculture facility permit shall not be denied, however, for species endemic to the local area of the facility, or for species generally accepted as not having negative impact to wildlife resources.",[Colorado Department of Agriculture],aquaculture facility permit,shall not [must not] ,be denied,"however, for species endemic to the local area of the facility, or for species generally  accepted as not having negative impact to wildlife resources",,,,,
Written notification of denial shall be furnished to the applicant stating the reasons for denial within sixty (60) days of the receipt of a sufficient application.,[Colorado Department of Agriculture],written notification of denial,shall [must] ,be furnished,to the applicant stating the reasons for denial within sixty (60) days of the receipt of a sufficient application,,,,,
"Review of a denial shall be in accordance with section 24-4-104 & 105, C.R.S.",[Colorado Department of Agriculture],review of a denial [of an aquaculture facility permit],shall [must] ,be in accorandance,"with section 24-4-104 & 105, C.R.S.",,,,,
"The permitee shall allow the inspection of fish or viable gametes by persons authorized by the Commissioner to enforce these regulations, at any reasonable time.",Permitee,inspection of fish or viable gametes ,shall [must] ,allow,"by persons authorized by the Commissioner to enforce these regulations, at any reasonable time",,,,,
Records required by these regulations shall be made available to such authorized Department or Division employees during regular business hours.,[aquaculture facility permittees],records required by these regulations,shall [must],be made available,to such authorized Department of Division employees during regular business hours,,,,,
All aquaculture facility permitees shall maintain records documenting the acquisition of fish and viable gametes.,all aquaculture facility permitees,records documenting the acquistion of fish and viable gametes,shall [must],maintain,,,,,,
"The records shall show the name and address of the business or person from whom such fish and viable gametes were obtained, their date of acquisition, and their species, number and size.",[all aquaculture facility permitees],"name and address of the business or person from whom such fish and viable gametes were obtained, their date of inspection, and their species, number and size",shall [must],show,,,,,,
All records shall be retained for the period of ownership of the fish  or viable gametes and for three (3) years after disposition.,[all aquaculture facility permitees],All records ,shall [must],be retained,for the period of ownership of the fish or viable gametes and for three (3) years after disposition,,,,,
"When live fish or viable gametes are sold, traded, taken or otherwise disposed of from an aquaculture facility, the permittee or operator shall, at the time of transfer of possession, give an invoice to the person receiving such fish or viable gametes.",permittee or operator,an invoice ,shall [must] ,give,,,,,,
"Such invoice [given to person receiving fish or gametes that have been sold, traded or taken from an aquaculture facility at the time of a transfer] shall contain the permittee's name…",[permittee or operator] ,permittee's name,shall [must],contain,,,,,,
"...and such invoice shall show the name and address of the recipient, the license number or designation of the receiving facility or lake, date of delivery, species, number and size of the fish or viable gametes.",[permittee or operator],"the name and address of the recipient, the license number or designation of the receiving facility or lake, date of delivery, species, number and size of the fish or viable gametes",shall [must],show,[where] in such invoice,,,,,
Copies of all invoices for aquaculture facility permits shall be maintained by the permitee for three (3) years.,Permittee,copies of all invoices,shall [must] ,be maintained,by the permittee for three (3) years,,,,,
All original records must be kept at the same location as the production facility or satellite location or at the Colorado address of the permitee.,[Permittee],all original records,must,be kept,at the same location as the production facility or satellite location ar at the Colorado address of the permittee,,,,,
"Bait dealers that are exempt from the aquaculture facility permit requirement pursuant to section  II of these rules shall be required to: 1. Maintain records of all acquisitions of live fish or viable gametes…2. Provide each purchaser of live fish or viable gametes with a written receipt stating the seller’s name, the date of sale, and the species, and the number sold. ",Bait dealers that are exempt from the aquaculture facility permit requirement pursuant to section  II of these rules ,records of all acquisitions of live fish or viable gametes,shall be required [must],maintain,,,,,,
"Bait dealers that are exempt from the aquaculture facility permit requirement pursuant to section  II of these rules shall be required to: 2. Provide each purchaser of live fish or viable gametes with a written receipt stating the seller’s name, the date of sale, and the species, and the number sold. ",Bait dealers that are exempt from the aquaculture facility permit requirement pursuant to section  II of these rules ,each purchaser of live fish or viable gametes,shall be required [must],provide,"[how] with a written receipt stating the seller's name, the date of sale, the species, and the numbers sold",,,,,
"...The records shall show the name and address of the business or person from whom such fish and viable  gametes were obtained, their date of acquisition, and their species, number and size…",[bait dealers],"the name and address of the business or person from whom such fish and viable  gametes were obtained, their date of acquisition, and their species, number and size",shall [must],show,[in] records,,,,,
"In all cases of permitting, taking, possession, importation,
exportation, release, marking and sale of cultured aquatic stock, the most restrictive state or federal law  shall apply.",[Colorado Department of Agriculture],most restrictive state or federal law,shall [must],apply,"In all cases of permitting, taking, possession, importation,
exportation, release, marking and sale of cultured aquatic stock",,,,,
These rules are adopted pursuant to 35-24.5-105(1) and 35-24.5-106(1).,[Colorado Department of Agriculture],rules,,are adopted,pursuant to 35-24.5-105(1) and 35-24.5-106(1),,,,,
These recommended changes are the result of a review of the existing regulation by the Colorado Aquaculture Board.,[Colorado Departement of Agriculture],recommended changes ,,are,[from a] review of the existing regulation by the Colorado Aquaculture Board,,,,,
This review resulted in both technical and operational changes being recommended.,[Colorado Department of Agriculture],both technical and operational changed being recommended,,resulted,[from] this review,,,,,
"These amendments to these rules are proposed for adoption by the Commissioner of the Colorado Department of Agriculture (“CDA”) pursuant to his authority under the Aquaculture Act (the “Act”), §35-24.5-107(1)(a),(c), and 5, C.R.S.",[Colorado Departmemt of Agriculture],these amendments to these rules,,are proposed,"for adoption by the Commissioner of the Colorado Department of Agriculture (“CDA”) pursuant to his authority under the Aquaculture Act (the “Act”), §35-24.5-107(1)(a),(c), and 5, C.R.S.",,,,,
