raw institutional statement,Attribute,Object,Deontic,Aim,Condition,Or else
there is hereby established a camden food security advisory board hereinafter referred to as the board,,,,,,
the voting members of the board shall be comprised of residents and former residents of the city of camden,voting members of the board,residents and former residents of the city of camden,shall,be comprised of,,
the nonvoting members of the board shall be comprised of employees and officials of the city of camden and other individuals who are to serve in an advisory capacity to the board,nonvoting members of the board,employees and officials of the city of camden and other individuals who are to serve in an advisory capacity to the board,shall,be comprised of,,
the board shall consist of five voting members,board,five voting members,shall,consist of,,
who shall be appointed by a majority vote of the city council of the city of camden,,,shall,be appointed,by a majority vote of the city council of the city of camden,
the city council shall select the members of the board from a list of individual candidates agreed upon by the city council of the city of camden,city council,the members of the board,shall,select,from a list of individual candidates agreed upon by the city council of the city of camden,
the board shall consist of three nonvoting members,board,three nonvoting members,shall,consist of,,
who shall be appointed by the city council of the city of camden,,by the city council of the city of camden,shall,be appointed,,
... wherein one such member shall be a member of city council,,member a member of city council,shall,,,
and two such members shall be designated by the mayor not excluding employees or officials of the city of camden,mayor,two such members,shall,be designated,not excluding employees or officials of the city of camden,
the board chairperson shall be appointed by a majority vote of the board members,board chairperson,by of the board members,shall,be appointed,,
the terms of both voting and nonvoting board members shall be for two years,voting and nonvoting board members,terms two years,shall,be,,
the initial appointments to the board shall be staggered whereby half of the members shall serve one-year terms and half of the members shall serve two-year terms,board,staggered terms terms,shall shall shall,be,initial appointments whereby half of the members serve one-year and half of the members serve two-year,
the terms of the initial appointments shall be designated by city council,city council,the terms of the initial appointments,shall,be designated,,
the board shall advise the city council on the following matters a. the building of strong sustainable local and regional food systems that ensure camden 's communities ' access to affordable nutritious and culturally appropriate food for all of camden 's residents at all times,board,city council,shall,advise,on the following a. the building of strong sustainable local and regional food systems that ensure camden communities access to affordable nutritious and culturally appropriate food for all of camden residents at all,
b. the development of self-reliance amongst all camden communities in obtaining their food and to create a system of growing manufacturing processing making available and selling food that is locally and regionally based and grounded in the principles of food access to all and good health through good nutrition,,,,,b. the development of self-reliance amongst all camden communities in obtaining their food and to create a system of growing manufacturing processing making available and selling food that is locally and regionally based and grounded in the principles of food access to all and good health through good,
the board shall periodically meet,board,,shall,meet,periodically,
and report to the city council on its activities toward the fulfillment of its purpose,,its activities toward the fulfillment of its purpose,,report on,to the city council,
a quorum shall consist of a majority of the voting membership,a majority of the voting membership,quorum,shall,consist,,
there is no provision herein made for the hiring or employment of officers and employees of the board,,,,,,
there is hereby established in the department of agriculture the colorado food systems advisory council referred to in this article as the council,,,,,,
the council is created as an advisory committee to foster a healthy food supply available to all colorado residents while enhancing the state 's agricultural and natural resources encouraging economic growth expanding the viability of agriculture and improving the health of our communities and residents,state,,,is created,council,as an advisory committee to foster a healthy food supply available to all colorado residents while enhancing the agricultural and natural resources encouraging economic growth expanding the viability of agriculture and improving the health of our communities and residents
the council 's role is to make recommendations to the general assembly and to the appropriate regulatory agencies,council,recommendations,,make,to the general assembly and to the appropriate regulatory agencies,
not to make policy,,policy,,make,,
the council shall use a method of dialogue and consensus decision-making to arrive at its recommendations,council,a method of dialogue and consensus decision-making,shall,use,to arrive at its recommendations,
