id,sid,tid,word,lemma,upos,pos,cid,source,relation,word_source,lemma_source,sentiment,CodeType
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,1,
doc1,1,1,metropolitan,metropolitan,ADJ,JJ,0,3,amod,council,council,1,
doc1,1,2,county,county,NOUN,NN,13,3,compound,council,council,1,
doc1,1,3,council,council,NOUN,NN,20,5,nsubj,goes,go,1,
doc1,1,4,hereby,hereby,ADV,RB,28,5,advmod,goes,go,1,
doc1,1,5,goes,go,VERB,VBZ,35,0,root,ROOT,ROOT,1,
doc1,1,6,on,on,ADP,IN,40,7,case,record,record,1,
doc1,1,7,record,record,NOUN,NN,43,5,nmod,goes,go,1,
doc1,1,8,as,as,ADP,IN,50,9,mark,requesting,request,1,
doc1,1,9,requesting,request,VERB,VBG,53,5,advcl,goes,go,1,
doc1,1,10,the,the,DET,DT,64,12,det,board,board,1,
doc1,1,11,metropolitan,metropolitan,ADJ,JJ,68,12,amod,board,board,1,
doc1,1,12,board,board,NOUN,NN,81,9,dobj,requesting,request,1,
doc1,1,13,of,of,ADP,IN,87,14,case,health,health,1,
doc1,1,14,health,health,NOUN,NN,90,12,nmod,board,board,1,
doc1,1,15,to,to,PRT,TO,97,16,mark,create,create,1,
doc1,1,16,create,create,VERB,VB,100,9,advcl,requesting,request,1,
doc1,1,17,a,a,DET,DT,107,20,det,council,council,1,
doc1,1,18,food,food,NOUN,NN,109,20,compound,council,council,1,
doc1,1,19,policy,policy,NOUN,NN,114,20,compound,council,council,1,
doc1,1,20,council,council,NOUN,NN,121,16,dobj,create,create,1,
doc1,1,21,.,.,.,.,128,5,punct,goes,go,1,
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,1,
doc1,1,1,the,the,DET,DT,0,3,det,clerk,clerk,1,Attribute
doc1,1,2,metropolitan,metropolitan,ADJ,JJ,4,3,amod,clerk,clerk,1,Attribute
doc1,1,3,clerk,clerk,NOUN,NN,17,5,nsubjpass,directed,direct,1,Attribute
doc1,1,4,is,be,VERB,VBZ,23,5,auxpass,directed,direct,1,Deontic
doc1,1,5,directed,direct,VERB,VBN,26,0,root,ROOT,ROOT,1,Deontic
doc1,1,6,to,to,PRT,TO,35,7,mark,send,send,1,Aim
doc1,1,7,send,send,VERB,VB,38,5,xcomp,directed,direct,1,Aim
doc1,1,8,a,a,DET,DT,43,9,det,copy,copy,1,Object
doc1,1,9,copy,copy,NOUN,NN,45,7,dobj,send,send,1,Object
doc1,1,10,of,of,ADP,IN,50,12,case,resolution,resolution,1,Object
doc1,1,11,this,this,DET,DT,53,12,det,resolution,resolution,1,Object
doc1,1,12,resolution,resolution,NOUN,NN,58,9,nmod,copy,copy,1,Object
doc1,1,13,to,to,PRT,TO,69,15,case,member,member,1,Condition
doc1,1,14,each,each,DET,DT,72,15,det,member,member,1,Condition
doc1,1,15,member,member,NOUN,NN,77,7,nmod,send,send,1,Condition
doc1,1,16,of,of,ADP,IN,84,19,case,board,board,1,Condition
doc1,1,17,the,the,DET,DT,87,19,det,board,board,1,Condition
doc1,1,18,metropolitan,metropolitan,ADJ,JJ,91,19,amod,board,board,1,Condition
